Query=YOR250C	 Hit=lcl|MAPG_12038T0	" Description=pep:novel supercontig:Mag_poae_ATCC_64411_V1:supercont1.131:15:784:1 gene:MAPG_12038 transcript:MAPG_12038T0 description:""Clp1""-species:Magnaporthe_poae"	 E_value=2e-08
Query=YER133W	 Hit=lcl|CADNFIAP00004167	" Description=pep:known contig:CADRE:9201:2965526:2966851:1 gene:CADNFIAG00004295 transcript:CADNFIAT00004295 description:""Serine/threonine-protein phosphatase""-species:Neosartorya_fischeri"	 E_value=6e-06
			
Query=YER133W	 Hit=lcl|CADAFUBP00007552	" Description=pep:known scaffold:CADRE:DS499599:1537331:1538656:1 gene:CADAFUBG00007688 transcript:CADAFUBT00007688 description:""Serine/threonine-protein phosphatase""-species:Aspergillus_fumigatus"	 E_value=4e-06
			
Query=YOL123W	 Hit=lcl|CBQ71163	" Description=pep:novel chromosome:GCA_000230245.1:20:861034:863370:-1 gene:sr10833 transcript:CBQ71163 description:""related to HRP1-subunit of cleavage factor I""-species:Sporisorium_reilianum"	 E_value=5e-09
			
Query=YOL123W	 Hit=lcl|MVLG_06413T0	" Description=pep:novel supercontig:GCA_000166175.1:supercont1.119:13595:16489:-1 gene:MVLG_06413 transcript:MVLG_06413T0 description:""hypothetical protein""-species:Microbotryum_violaceum"	 E_value=2e-10
			
Query=YOL123W	 Hit=lcl|MAPG_03901T0	" Description=pep:novel supercontig:Mag_poae_ATCC_64411_V1:supercont1.3:1157888:1158444:1 gene:MAPG_03901 transcript:MAPG_03901T0 description:""hypothetical protein""-species:Magnaporthe_poae"	 E_value=6e-09
			
Query=YOL123W	 Hit=lcl|CCU76868	" Description=pep:novel supercontig:EF1:HF943534:1724255:1727105:-1 gene:BGHDH14_bgh01609 transcript:CCU76868 description:""putative polyadenylate-binding protein""-species:Blumeria_graminis"	 E_value=5e-09
			
Query=YOL123W	 Hit=lcl|CCU76868	" Description=pep:novel supercontig:EF1:HF943534:1724255:1727105:-1 gene:BGHDH14_bgh01609 transcript:CCU76868 description:""putative polyadenylate-binding protein""-species:Blumeria_graminis"	 E_value=1e-06
			
Query=YOL123W	 Hit=lcl|B0510_252T1	" Description=pep:novel supercontig:B05.10_v2:Supercontig_1.1:995299:997731:-1 gene:B0510_252 transcript:B0510_252T1 description:""""-species:Botryotinia_fuckeliana"	 E_value=5e-09
			
Query=YOL123W	 Hit=lcl|B0510_252T1	" Description=pep:novel supercontig:B05.10_v2:Supercontig_1.1:995299:997731:-1 gene:B0510_252 transcript:B0510_252T1 description:""""-species:Botryotinia_fuckeliana"	 E_value=2e-08
			
Query=YOL123W	 Hit=lcl|PTTG_00890P0	" Description=pep:novel supercontig:ASM15152v1:GG705410:50472:52618:-1 gene:PTTG_00890 transcript:PTTG_00890T0 description:""Uncharacterized protein""-species:Puccinia_triticina"	 E_value=5e-06
			
Query=YOL123W	 Hit=lcl|PTTG_00890P0	" Description=pep:novel supercontig:ASM15152v1:GG705410:50472:52618:-1 gene:PTTG_00890 transcript:PTTG_00890T0 description:""Uncharacterized protein""-species:Puccinia_triticina"	 E_value=1e-05
			
Query=YOL123W	 Hit=lcl|EDN90963	" Description=pep:novel supercontig:ASM14694v1:CH476621:934400:936806:-1 gene:SS1G_00363 transcript:EDN90963 description:""hypothetical protein""-species:Sclerotinia_sclerotiorum"	 E_value=6e-09
			
Query=YOL123W	 Hit=lcl|EDN90963	" Description=pep:novel supercontig:ASM14694v1:CH476621:934400:936806:-1 gene:SS1G_00363 transcript:EDN90963 description:""hypothetical protein""-species:Sclerotinia_sclerotiorum"	 E_value=5e-08
			
Query=YOL123W	 Hit=lcl|CADAFLAP00008184	" Description=pep:known supercontig:JCVI-afl1-v2.0:EQ963479:889741:891417:1 gene:CADAFLAG00008184 transcript:CADAFLAT00008184 description:""Nuclear and cytoplasmic polyadenylated RNA-binding protein pub1 ""-species:Aspergillus_flavus"	 E_value=2e-07
			
Query=YOL123W	 Hit=lcl|FVEG_01121T0	" Description=pep:known chromosome:ASM14955v1:1:4942756:4945062:1 gene:FVEG_01121 transcript:FVEG_01121T0 description:""conserved hypothetical protein""-species:Gibberella_moniliformis"	 E_value=9e-06
			
Query=YOL123W	 Hit=lcl|MAPG_07325T0	" Description=pep:novel supercontig:Mag_poae_ATCC_64411_V1:supercont1.6:1270411:1273650:1 gene:MAPG_07325 transcript:MAPG_07325T0 description:""polyadenylate-binding protein""-species:Magnaporthe_poae"	 E_value=1e-08
			
Query=YOL123W	 Hit=lcl|MAPG_07325T0	" Description=pep:novel supercontig:Mag_poae_ATCC_64411_V1:supercont1.6:1270411:1273650:1 gene:MAPG_07325 transcript:MAPG_07325T0 description:""polyadenylate-binding protein""-species:Magnaporthe_poae"	 E_value=4e-06
			
Query=YOL123W	 Hit=lcl|FGSG_05417P0	" Description=pep:known chromosome:ASM24013v2:3:2199672:2201486:1 gene:FGSG_05417 transcript:FGSG_05417T0 description:""hypothetical protein similar to nuclear and cytoplasmic polyadenylated RNA-binding protein pub1""-species:Gibberella_zeae"	 E_value=1e-07
			
Query=YOL123W	 Hit=lcl|CAG81584	" Description=pep:novel chromosome:GCA_000002525.1:C:73275:75164:1 gene:YALI0_C00539g transcript:CAG81584 description:""YALI0C00539p""-species:Yarrowia_lipolytica"	 E_value=4e-09
			
Query=YOL123W	 Hit=lcl|MGG_06400T0	" Description=pep:known chromosome:MG8:4:3862385:3866191:1 gene:MGG_06400 transcript:MGG_06400T0 description:""Nuclear and cytoplasmic polyadenylated RNA-binding protein pub1""-species:Magnaporthe_oryzae"	 E_value=2e-06
			
Query=YOL123W	 Hit=lcl|PTTG_00396P0	" Description=pep:novel supercontig:ASM15152v1:GG705408:1645532:1646941:-1 gene:PTTG_00396 transcript:PTTG_00396T0 description:""Uncharacterized protein""-species:Puccinia_triticina"	 E_value=2e-06
			
Query=YOL123W	 Hit=lcl|EEB09242	" Description=pep:novel supercontig:GCA_000149845.2:supercont5.2:2410670:2413354:-1 gene:SJAG_04427 transcript:EEB09242 description:""mRNA export shuttling protein""-species:Schizosaccharomyces_japonicus"	 E_value=2e-10
			
Query=YOL123W	 Hit=lcl|CADANGAP00002677	" Description=pep:known chromosome:CADRE:IV:3038087:3038690:1 gene:CADANGAG00002750 transcript:CADANGAT00002750 description:""Putative uncharacterized protein An02g12270""-species:Aspergillus_niger"	 E_value=8e-07
			
Query=YOL123W	 Hit=lcl|PTTG_07144P0	" Description=pep:novel supercontig:ASM15152v1:GG705505:190317:192509:-1 gene:PTTG_07144 transcript:PTTG_07144T0 description:""Uncharacterized protein""-species:Puccinia_triticina"	 E_value=9e-06
			
Query=YOL123W	 Hit=lcl|GGTG_08213T0	" Description=pep:known supercontig:Gae_graminis_V2:supercont1.4:2319449:2324105:1 gene:GGTG_08213 transcript:GGTG_08213T0 description:""nuclear and cytoplasmic polyadenylated RNA-binding protein pub1""-species:Gaeumannomyces_graminis"	 E_value=9e-06
			
Query=YOL123W	 Hit=lcl|CADATEAP00007828	" Description=pep:known supercontig:CADRE:1.1:1132651:1134330:-1 gene:CADATEAG00007828 transcript:CADATEAT00007828 description:""Putative uncharacterized protein""-species:Aspergillus_terreus"	 E_value=2e-07
			
Query=YOL123W	 Hit=lcl|CADANGAP00006623	" Description=pep:known chromosome:CADRE:VIII:2620663:2622354:-1 gene:CADANGAG00006749 transcript:CADANGAT00006749 description:""Similarity to oligouridylate binding protein ubp1""-species:Aspergillus_niger"	 E_value=1e-07
			
Query=YOL123W	 Hit=lcl|EFNCRP00000007504	" Description=pep:known supercontig:ASM18292v1:7.40:57752:59504:1 gene:EFNCRG00000007502 transcript:EFNCRT00000007514 description:""Putative uncharacterized protein""-species:Neurospora_crassa"	 E_value=8e-06
			
Query=YOL123W	 Hit=lcl|CADAFLAP00004517	" Description=pep:known supercontig:JCVI-afl1-v2.0:EQ963475:958618:959261:1 gene:CADAFLAG00004517 transcript:CADAFLAT00004517 description:""Heterogeneous nuclear ribonucleoprotein G, putative ""-species:Aspergillus_flavus"	 E_value=4e-07
			
Query=YOL123W	 Hit=lcl|AAS54612	" Description=pep:known chromosome:ASM9102v1:VII:1295768:1297525:-1 gene:AGOS_AGR122C transcript:AAS54612 description:""Polyadenylate-binding protein, cytoplasmic and nuclear""-species:Ashbya_gossypii"	 E_value=1e-10
			
Query=YOL123W	 Hit=lcl|EGR47358	" Description=pep:novel supercontig:GCA_000167675.2:GL985069:779763:782889:-1 gene:TRIREDRAFT_79686 transcript:EGR47358 description:""polyadenylate-binding protein""-species:Trichoderma_reesei"	 E_value=2e-08
			
Query=YOL123W	 Hit=lcl|EEB06183	" Description=pep:novel supercontig:GCA_000149845.2:supercont5.3:1196223:1198695:1 gene:SJAG_01222 transcript:EEB06183 description:""polyadenylate-binding protein""-species:Schizosaccharomyces_japonicus"	 E_value=3e-10
			
Query=YOL123W	 Hit=lcl|EEB06183	" Description=pep:novel supercontig:GCA_000149845.2:supercont5.3:1196223:1198695:1 gene:SJAG_01222 transcript:EEB06183 description:""polyadenylate-binding protein""-species:Schizosaccharomyces_japonicus"	 E_value=6e-10
			
Query=YOL123W	 Hit=lcl|YER165W	" Description=pep:known chromosome:SacCer_Apr2011:V:510373:512106:1 gene:YER165W transcript:YER165W description:""Poly(A) binding protein, part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G""-species:Saccharomyces_cerevisiae"	 E_value=2e-10
			
Query=YOL123W	 Hit=lcl|YER165W	" Description=pep:known chromosome:SacCer_Apr2011:V:510373:512106:1 gene:YER165W transcript:YER165W description:""Poly(A) binding protein, part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G""-species:Saccharomyces_cerevisiae"	 E_value=4e-09
			
Query=YOL123W	 Hit=lcl|EFQ33305	" Description=pep:novel supercontig:GCA_000149035.1:GG697369:209397:211170:-1 gene:GLRG_08449 transcript:EFQ33305 description:""RNA recognition domain-containing protein""-species:Glomerella_graminicola"	 E_value=3e-07
			
Query=YOL123W	 Hit=lcl|CAZ85322	" Description=pep:novel supercontig:ASM15164v1:FN430348:171811:175240:-1 gene:GSTUM_00010135001 transcript:CAZ85322 description:""""-species:Tuber_melanosporum"	 E_value=3e-06
			
Query=YOL123W	 Hit=lcl|CADANIAP00001543	" Description=pep:known chromosome:ASM1142v1:VIII:1495991:1498348:-1 gene:CADANIAG00001543 transcript:CADANIAT00001543 description:""nuclear and cytoplasmic polyadenylated RNA-binding protein pub1 (AFU_orthologue\x3b AFUA_1G12000)""-species:Aspergillus_nidulans"	 E_value=6e-07
			
Query=YOL123W	 Hit=lcl|SPAC57A7.04c.1:pep	" Description=pep:known chromosome:ASM294v2:I:1540606:1545221:1 gene:SPAC57A7.04c transcript:SPAC57A7.04c.1 description:""mRNA export shuttling protein""-species:Schizosaccharomyces_pombe"	 E_value=6e-09
			
Query=YOL123W	 Hit=lcl|CADNFIAP00000761	" Description=pep:known contig:CADRE:8741:1799472:1801148:1 gene:CADNFIAG00000800 transcript:CADNFIAT00000800 description:""Nuclear and cytoplasmic polyadenylated RNA-binding protein pub1""-species:Neosartorya_fischeri"	 E_value=1e-06
			
Query=YOL123W	 Hit=lcl|FGSG_11064P0	" Description=pep:known chromosome:ASM24013v2:3:5832857:5834080:1 gene:FGSG_11064 transcript:FGSG_11064T0 description:""conserved hypothetical protein""-species:Gibberella_zeae"	 E_value=3e-06
			
Query=YOL123W	 Hit=lcl|EDU40887	" Description=pep:novel supercontig:GCA_000149985.1:supercont1.1:4042918:4045032:-1 gene:PTRG_01449 transcript:EDU40887 description:""polyadenylate-binding protein""-species:Pyrenophora_triticirepentis"	 E_value=3e-09
			
Query=YOL123W	 Hit=lcl|EFNCRP00000004477	" Description=pep:known supercontig:ASM18292v1:7.16:478713:482144:-1 gene:EFNCRG00000004471 transcript:EFNCRT00000004477 description:""Polyadenylate-binding protein, cytoplasmic and nuclear""-species:Neurospora_crassa"	 E_value=3e-09
			
Query=YOL123W	 Hit=lcl|EPY50998	" Description=pep:novel supercontig:GCA_000004155.2:supercont4.5:954910:957886:1 gene:SPOG_04913 transcript:EPY50998 description:""mRNA export shuttling protein""-species:Schizosaccharomyces_cryophilus"	 E_value=2e-07
			
Query=YOL123W	 Hit=lcl|EFQ86241	" Description=pep:novel supercontig:GCA_000166005.1:GL537499:97171:99469:1 gene:PTT_18612 transcript:EFQ86241 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=3e-09
			
Query=YOL123W	 Hit=lcl|EGR52452	" Description=pep:novel supercontig:GCA_000167675.2:GL985056:2599230:2601463:1 gene:TRIREDRAFT_74241 transcript:EGR52452 description:""predicted protein""-species:Trichoderma_reesei"	 E_value=4e-07
			
Query=YOL123W	 Hit=lcl|FVEG_07111T0	" Description=pep:known chromosome:ASM14955v1:7:1821306:1822751:-1 gene:FVEG_07111 transcript:FVEG_07111T0 description:""hypothetical protein similar to nuclear and cytoplasmic polyadenylated RNA-binding protein pub1""-species:Gibberella_moniliformis"	 E_value=8e-07
			
Query=YOL123W	 Hit=lcl|EFP82654	" Description=pep:novel supercontig:ASM14992v1:supercont2.22:431888:434078:-1 gene:PGTG_08850 transcript:EFP82654 description:""hypothetical protein""-species:Puccinia_graminis"	 E_value=4e-08
			
Query=YOL123W	 Hit=lcl|EHK21274	" Description=pep:novel supercontig:ASM17099v1:73:168768:170427:-1 gene:TRIVIDRAFT_116557 transcript:EHK21274 description:""hypothetical protein""-species:Trichoderma_virens"	 E_value=4e-07
			
Query=YOL123W	 Hit=lcl|CADAFUBP00003968	" Description=pep:known scaffold:CADRE:DS499596:1849800:1850475:-1 gene:CADAFUBG00004039 transcript:CADAFUBT00004039 description:""Glycine-rich RNA-binding protein, putative""-species:Aspergillus_fumigatus"	 E_value=1e-06
			
Query=YOL123W	 Hit=lcl|CBY00374	" Description=pep:novel supercontig:ASM23037v1:FP929138:825756:828052:1 gene:LEMA_P015040.1 transcript:CBY00374 description:""Putative uncharacterized protein ""-species:Leptosphaeria_maculans"	 E_value=4e-09
			
Query=YOL123W	 Hit=lcl|B0510_4152T1	" Description=pep:novel supercontig:B05.10_v2:Supercontig_1.10:201067:202044:-1 gene:B0510_4152 transcript:B0510_4152T1 description:""""-species:Botryotinia_fuckeliana"	 E_value=2e-08
			
Query=YOL123W	 Hit=lcl|EFQ33561	" Description=pep:novel supercontig:GCA_000149035.1:GG697371:352976:355338:-1 gene:GLRG_08840 transcript:EFQ33561 description:""4 family polyadenylate binding protein""-species:Glomerella_graminicola"	 E_value=2e-09
			
Query=YOL123W	 Hit=lcl|CADNFIAP00006191	" Description=pep:known contig:CADRE:9288:1968792:1969469:-1 gene:CADNFIAG00006348 transcript:CADNFIAT00006348 description:""Glycine-rich RNA-binding protein, putative""-species:Neosartorya_fischeri"	 E_value=5e-06
			
Query=YOL123W	 Hit=lcl|CCU75091	" Description=pep:novel supercontig:EF1:HF943549:8012886:8014815:-1 gene:BGHDH14_bgh00478 transcript:CCU75091 description:""poly(A) RNA-binding protein""-species:Blumeria_graminis"	 E_value=5e-06
			
Query=YOL123W	 Hit=lcl|CADANIAP00010091	" Description=pep:known chromosome:ASM1142v1:VI:2110548:2111353:1 gene:CADANIAG00010091 transcript:CADANIAT00010091 description:""glycine-rich RNA-binding protein, putative (AFU_orthologue\x3b AFUA_3G08580)""-species:Aspergillus_nidulans"	 E_value=1e-06
			
Query=YOL123W	 Hit=lcl|MVLG_00416T0	" Description=pep:novel supercontig:GCA_000166175.1:supercont1.2:445455:447958:1 gene:MVLG_00416 transcript:MVLG_00416T0 description:""hypothetical protein""-species:Microbotryum_violaceum"	 E_value=1e-10
			
Query=YOL123W	 Hit=lcl|MVLG_00416T0	" Description=pep:novel supercontig:GCA_000166175.1:supercont1.2:445455:447958:1 gene:MVLG_00416 transcript:MVLG_00416T0 description:""hypothetical protein""-species:Microbotryum_violaceum"	 E_value=4e-07
			
Query=YOL123W	 Hit=lcl|EGY21812	" Description=pep:novel supercontig:GCA_000150675.1:supercont1.5:884161:886026:-1 gene:VDAG_03252 transcript:EGY21812 description:""glycine-rich RNA-binding protein""-species:Verticillium_dahliae"	 E_value=1e-10
			
